giorno;mese;progessivo;santo
12;04;10;sant'Alferio, fondatore e primo abate di Cava
12;04;11;beato Lorenzo, sacerdote dell'Ordine di San Girolamo
12;04;12;santa Teresa di Gesù di Los Andes, vergine carmelitana scalza
12;04;13;san Giuseppe Moscati, medico
12;04;14;san Davide Uribe, sacerdote e martire messicano.
13;04;1;san Martino I, papa e martire
13;04;2;santi Carpo, Papilo, Agatonica e compagni, martiri
13;04;3;sant'Orso, vescovo di Ravenna
13;04;4;sant'Ermenegildo, martire
13;04;5;beata Ida, vedova
13;04;6;san Caradoco, sacerdote e monaco
13;04;7;beato Albertino, eremita e priore di Fonte Avellana
13;04;8;beata Ida, vergine
13;04;9;beata Margherita, vergine domenicana
13;04;10;beati Francesco Dickenson e Milone Gerard, sacerdoti e martiri
13;04;11;beati Giovanni Lockwood e Edoardo Catherick, sacerdoti e martiri
13;04;12;beato Scubilione Rousseau, lasalliano
13;04;13;san Saba Reyes, sacerdote e martire.
14;04;1;santi Tiburzio, Valeriano e Massimo, martiri
14;04;2;sante Bernice e Prosdoca, vergini e martiri
14;04;3;san Frontone, abate
14;04;4;san Tassac, vescovo di Elphin
14;04;5;santa Tomaide, martire
14;04;6;san Pretestato, vescovo di Rouen
14;04;7;san Lamberto, vescovo di Lione, abate di Fontenelle
14;04;8;san Giovanni, vescovo di Montemarano
14;04;9;san Bernardo, abate
14;04;10;san Benedetto, pastorello
14;04;11;beato Pietro González, detto Telmo, sacerdote domenicano
14;04;12;santa Liduina, vergine
14;04;13;beata Isabella Calduch Rovira, vergine e martire cappuccina.
15;04;1;santi Teodoro e Pausilipo, martiri
15;04;2;san Crescente, martire
15;04;3;san Marone, martire
15;04;4;sant'Abbondio, missionario
15;04;5;san Paterno, vescovo di Avranches
15;04;6;sant'Ortario, abate
15;04;7;beato Cesare de Bus, sacerdote, fondatore dei Padri della Dottrina Cristiana
15;04;8;san Damiano de Veuster, sacerdote picpusiano.
16;04;1;santi Leonida e sette compagni, martiri
16;04;2;santi martiri di Saragozza
16;04;3;santa Engrazia, vergine e martire
16;04;4;santi Caio e Crescenzio, martiri
16;04;5;san Turibio, vescovo di Astorga
16;04;6;san Fruttuoso, vescovo di Braga
16;04;7;san Magno, martire
16;04;8;san Drogone, pellegrino
16;04;9;san Contardo, pellegrino
16;04;10;san Benedetto Giuseppe Labre, pellegrino
16;04;11;beati Pietro Delépine, Giovanni Ménard e ventiquattro compagne, martiri
16;04;12;santa Maria Bernarda Soubirous, vergine delle dame di Nevers, veggente di Lourdes.
17;04;1;santi Pietro, diacono, ed Ermogene, martiri
17;04;2;san Simeone, vescovo di Seleucia e Ctesifonte, martire
17;04;3;sant'Ustazade, eunuco, e compagni martiri persiani
17;04;4;sant'Innocenzo, vescovo di Tortona
17;04;5;sant'Acacio, vescovo di Melitene
17;04;6;san Pantagato, vescovo di Vienne
17;04;7;santi Donnano, abate, e compagni, martiri
17;04;8;santi Elia, Paolo e Isidoro, martiri
17;04;9;san Roberto, abate di La Chaise-Dieu
17;04;10;san Roberto, abate di Molesme e fondatore di Cîteaux
17;04;11;beato Giacomo da Cerqueto, sacerdote agostiniano
17;04;12;beata Chiara Gambacorti, vedova
17;04;13;beata Maria Anna di Gesù Navarro de Guevara, vergine mercedaria
17;04;14;beato Enrico Heat, sacerdote francescano e martire
17;04;15;santa Caterina Tekakwitha, vergine.
18;04;1;santi Ermogene ed Elpidio, martiri
18;04;2;san Pusicio, martire
18;04;3;sant'Eusebio, vescovo di Fano
18;04;4;san Laisren, abate di Leighlin
18;04;5;sant'Ursmaro, vescovo-abate di Lobbes
18;04;6;sant'Antusa, vergine
18;04;7;sant'Atanasia, vedova
18;04;8;san Giovanni Isauro, monaco
18;04;9;san Perfetto, sacerdote e martire
18;04;10;beato Idesbaldo, abate
18;04;11;san Galdino, vescovo di Milano
18;04;12;beato Andrea da Montereale, sacerdote agostiniano
18;04;13;beato Andrea Hibernón, religioso francescano
18;04;14;beata Maria dell'Incarnazione Avrillot, vedova, carmelitana
18;04;15;beato Giuseppe Moreau, sacerdote e martire
18;04;16;beata Savina Petrilli, vergine, fondatrice delle Sorelle dei Poveri di Santa Caterina da Siena
18;04;17;beato Romano Archutowsky, sacerdote e martire.
19;04;1;san Mappalico e compagni, martiri
19;04;2;santa Marta, vergine e martire
19;04;3;san Giorgio, vescovo di Antiochia di Pisidia
19;04;4;san Geroldo, eremita
19;04;5;sant'Elfego, vescovo di Winchester e di Canterbury e martire
19;04;6;san Leone IX, papa
19;04;7;beato Bernardo, penitente
19;04;8;beato Giacomo Duckett, martire.
20;04;1;sant'Aniceto, papa
20;04;2;santi Sulpicio e Seviziano, martiri
20;04;3;san Secondino, martire
20;04;4;san Marcellino, primo vescovo di Embrun
20;04;5;san Marciano, monaco
20;04;6;san Teodoro, detto il Villoso, penitente
20;04;7;sant'Anastasio, vescovo di Antiochia e martire
20;04;8;san Vione, vescovo di Osnabrück
20;04;9;beato Geraldo de Salis, canonico e poi eremita
20;04;10;beato Domenico Vernagalli, sacerdote camaldolese
20;04;11;sant'Agnese, vergine, priora del monastero domenicano di Montepulciano
20;04;12;beato Simone da Todi, sacerdote agostiniano
20;04;13;beati Giacomo Bell e Giovanni Finch, martiri
20;04;14;beati Riccardo Sargeant e Guglielmo Thomson, sacerdoti e martiri
20;04;15;beato Maurizio Mackenraghty, sacerdote e martire
20;04;16;beato Antonio Page, sacerdote e martire
20;04;17;beati Francesco Page e Roberto Watkinson, sacerdoti e martiri
20;04;18;beata Chiara Bosatta, vergine, fondatrice delle Figlie di Santa Maria della Divina Provvidenza
20;04;19;beato Anastasio Pankiewicz, sacerdote francescano e martire.
21;04;1;Sant'Anselmo, vescovo di Canterbury
21;04;2;sant'Apollonio, filosofo e martire
21;04;3;sant'Aristo, sacerdote e martire
21;04;4;sant'Anastasio, egumeno
21;04;5;san Melrubio, abate di Applecross
21;04;6;beato Bartolomeo Cerveri, sacerdote domenicano e martire
21;04;7;san Corrado da Parzham, religioso cappuccino
21;04;8;san Romano Adame, sacerdote e martire.
22;04;1;san Sotero, papa
22;04;2;sant'Epipodio, martire
22;04;3;san Leonida, martire, il quale
22;04;4;san Caio, papa
22;04;5;san Maryahb, corepiscopo e martire
22;04;6;sant'Agapito I, papa
22;04;7;san Leone, vescovo di Sens
22;04;8;san Teodoro, vescovo di Anastasiopoli ed egumeno
22;04;9;santa Opportuna, badessa
22;04;10;santa Senorina, badessa
22;04;11;beato Francesco Venimbeni, sacerdote francescano.
23;04;1;San Giorgio, martire
23;04;2;Sant'Adalberto, vescovo di Praga e martire
23;04;3;sant'Eulogio
23;04;4;san Marolo, vescovo di Milano
23;04;5;san Gerardo, vescovo di Toul
23;04;6;san Giorgio, vescovo di Suelli
23;04;7;beato Egidio d'Assisi, religioso francescano
23;04;8;beata Elena Valentinis, vedova
23;04;9;beata Teresa Maria della Croce Manetti, vergine, fondatrice delle Carmelitane di Santa Teresa
23;04;10;beata Maria Gabriella Sagheddu, vergine.
24;04;1;san Fedele da Sigmaringen, sacerdote cappuccino e martire
24;04;2;sante Maria di Cleofa e Salome
24;04;3;sant'Alessandro, martire
24;04;4;sant'Antimo, vescovo di Nicomedia, e i compagni, martiri
24;04;5;san Gregorio, vescovo di Elvira
24;04;6;san Deodato, diacono e abate
24;04;7;san Mellito, vescovo di Canterbury
24;04;8;san Vilfrido, vescovo di York
24;04;9;sant'Egberto, sacerdote e monaco
24;04;10;san Guglielmo, eremita
24;04;11;santa Maria di Sant'Eufrasia Pelletier, vergine, fondatrice delle Suore del Buon Pastore
24;04;12;san Benedetto Menni, sacerdote dei fatebenefratelli, fondatore delle Suore Ospedaliere del Sacro Cuore di Gesù
24;04;13;santa Maria Elisabetta Hesselblad, vergine, restauratrice dell'Ordine di Santa Brigida.
25;04;1;san Marco, evangelista
25;04;2;sant'Aniano, vescovo di Alessandria
25;04;3;santi Pasicrate e Valenzione, martiri
25;04;4;san Febadio, vescovo di Agen
25;04;5;santo Stefano, vescovo e martire
25;04;6;san Clarenzio, vescovo di Vienne
25;04;7;sant'Erminio, vescovo-abate di Lobbes
25;04;8;santa Franca, badessa cistercense
25;04;9;beato Bonifacio di Valperga, vescovo di Aosta
25;04;10;beati Roberto Anderton e Guglielmo Marsden, sacerdoti e martiri
25;04;11;san Pietro de Bethencourt, religioso del Terz'Ordine francescano, fondatore dei Fratelli di Betlemme
25;04;12;san Giovanni Battista Piamarta, sacerdote, fondatore della Congregazione della Sacra Famiglia di Nazareth.
26;04;1;san Cleto, papa
26;04;2;san Primitivo, martire
26;04;3;san Basileo, vescovo di Amasea e martire
26;04;4;san Ricario, sacerdote
26;04;5;san Pascasio Radberto, abate
26;04;6;santi Guglielmo e Pellegrino, eremiti
26;04;7;beati Domenico e Gregorio, sacerdoti domenicani
26;04;8;santo Stefano, vescovo di Perm'
26;04;9;san Raffaele Arnaiz Barón, religioso trappista
26;04;10;beato Giulio Junjer Padern, sacerdote salesiano e martire
26;04;11;beato Stanislao Kubista, sacerdote verbita, e beato Ladislao Goral, vescovo ausiliare di Lublino, martiri.
27;04;1;san Simeone, vescovo di Gerusalemme e martire
27;04;2;san Pollione, lettore e martire
27;04;3;san Teodoro, abate
27;04;4;san Liberale, eremita
27;04;5;san Macaldo, vescovo di Man
27;04;6;san Giovanni, egumeno
27;04;7;beata Zita, vergine
27;04;8;beato Pietro Armengol, mercedario
27;04;9;beato Giacomo da Zara, religioso francescano
27;04;10;beata Caterina (Osanna di Cattaro), vergine, terziaria domenicana
27;04;11;beato Nicola Roland, sacerdote, fondatore delle Suore del Santo Bambino Gesù
27;04;12;san Lorenzo Nguy?n V?n H??ng, sacerdote e martire
27;04;13;beata Maria Antonia Bandrés y Elósegui, vergine delle Figlie di Gesù.
28;04;1;san Pietro Chanel, sacerdote e martire
28;04;2;san Luigi Maria Grignion de Montfort, sacerdote, fondatore della Compagnia di Maria e delle Figlie della Sapienza
28;04;3;sant'Afrodisio, primo vescovo di Béziers
28;04;4;santi Eusebio, Caralampo e compagni, martiri
28;04;5;san Vitale, martire
28;04;6;santi Massimo, Dada e Quintiliano, martiri
28;04;7;san Prudenzio, vescovo di Tarazona
28;04;8;san Panfilo, vescovo di Corfinio
28;04;9;beato Lucchese, terziario francescano
28;04;10;beata Maria Luisa di Gesù Trichet, vergine, primo membro delle Figlie della Sapienza
28;04;11;santi Paolo Ph?m Kh?c Khoan, sacerdote, Giovanni Battista Ðinh V?n Thành e Pietro Nguy?n V?n Hi?n, catechisti e martiri
28;04;12;beato Giuseppe Cerula, sacerdote e martire
28;04;13;santa Giovanna Molla, madre di famiglia.
29;04;1;santa Caterina da Siena, vergine del terz'ordine domenicano e dottore della Chiesa
29;04;2;san Tichico, discepolo di san Paolo
29;04;3;san Torpete, martire
29;04;4;san Severo, vescovo di Napoli
29;04;5;sant'Ugo, abate di Cluny
29;04;6;sant'Acardo, vescovo di Avranches
29;04;7;sant'Antonio Kim Song-U, martire.
30;04;1;san Pio V, papa
30;04;2;san Quirino, tribuno e martire
30;04;3;sant'Eutropio, primo vescovo di Saintes
30;04;4;santi Diodoro e Rodopiano, martiri
30;04;5;san Donato, vescovo di Eurea di Epiro
30;04;6;san Lorenzo, sacerdote e martire
30;04;7;san Mercuriale, primo vescovo di Forlì
30;04;8;san Pomponio, vescovo di Napoli
30;04;9;san Pietro Levita, diacono
30;04;10;sant'Augulo, vescovo di Viviers
30;04;11;sant'Earconvaldo, vescovo di Londra
30;04;12;santi Amatore, sacerdote, Pietro, monaco, e Luigi, laico, martiri
30;04;13;san Gualfardo, eremita
30;04;14;sant'Adiutore
30;04;15;beato Guglielmo Southerne, sacerdote e martire
30;04;16;beato Benedetto da Urbino, sacerdote cappuccino
30;04;17;santa Maria dell'Incarnazione Guyart, vedova, fondatrice delle Orsoline del Canada
30;04;18;san Giuseppe Benedetto Cottolengo, sacerdote, fondatore di Fratelli, Suore e Padri della Piccola Casa della Divina Provvidenza
30;04;19;san Giuseppe Tuân, sacerdote domenicano e martire
30;04;20;beata Paolina von Mallinckrodt, vergine, fondatrice delle Suore della Carità Cristiana.
01;05;1;san Giuseppe, lavoratore
01;05;2;san Geremia, profeta
01;05;3;sant'Andeolo, martire
01;05;4;santi Torquato, vescovo di Guadix, e altri sei vescovi, martiri
01;05;5;sant'Amatore, vescovo di Auxerre
01;05;6;sant'Orenzio vescovo di Auch
01;05;7;san Brioco, vescovo e abate
01;05;8;san Sigismondo, re dei Burgundi
01;05;9;san Marculfo, eremita
01;05;10;sant'Aredio, vescovo di Gap
01;05;11;san Teodardo, vescovo di Narbona
01;05;12;beato Aldebrando, vescovo di Fossombrone
01;05;13;beata Mafalda, vergine
01;05;14;beato Vivaldo da San Gimignano, eremita del terzo ordine di san Francesco
01;05;15;beato Giuliano Cesarello, sacerdote francescano
01;05;16;san Pellegrino Laziosi, religioso dei servta
01;05;17;beata Petronilla, vergine, badessa clarisse
01;05;18;natale di san Pio V, papa
01;05;19;santi Agostino Schoeffler e Giovanni Luigi Bonnard, sacerdoti delle Missioni Estere di Parigi e martiri
01;05;20;san Riccardo Pampuri, dell'Ordine dei Fatebenefratelli
01;05;21;beato Clemente Šeptyc'kyj, studita, sacerdote e martire.
02;05;1;sant'Atanasio, vescovo di Alessandria e dottore della Chiesa
02;05;2;santi Espero e Zoe, coniugi, e i figli Ciriaco e Teodulo, martiri
02;05;3;san Felice, diacono e martire
02;05;4;santi Vendemiale e Longino, vescovi e martiri
02;05;5;santa Viborada, vergine e martire
02;05;6;beato Nicola Hermansson, vescovo di Linköping
02;05;7;sant'Antonino, domenicano, vescovo di Firenze
02;05;8;beato Guglielmo Tyrri, sacerdote agostiniano martire
02;05;9;san Giuseppe Nguy?n V?n L?u, catechista e martire
02;05;10;san Giuseppe Maria Rubio y Peralta, sacerdote gesuita
02;05;11;beato Boleslao Strzeleki, sacerdote e martire.
03;05;1;santi Filippo e Giacomo, apostoli
03;05;2;santi Timoteo e Maura, martiri
03;05;3;santi Evenzio, Alessandro e Teodulo, martiri
03;05;4;san Giovenale, primo vescovo di Narni
03;05;5;san Conlaedo, vescovo di Kildare
03;05;6;san Pietro, vescovo di Argo
03;05;7;sant'Ansfrido, vescovo di Utrecht
03;05;8;san Teodosio, abate
03;05;9;beata Emilia Bicchieri, vergine domenicana
03;05;10;santo Stanislao Casimiritano, sacerdote e canonico regolare
03;05;11;beato Edoardo Giuseppe Rosaz, vescovo di Susa, fondatore delle Suore Francescane Missionarie di Susa
03;05;12;beata Maria Leonia Paradis, vergine, fondatrice delle Piccole Suore della Sacra Famiglia.
04;05;1;santi Agapio e Secondino, vescovi, e compagni, martiri
04;05;2;sant'Antonina, martire
04;05;3;san Floriano, martire
04;05;4;santi Silvano, vescovo di Gaza, e trentanove compagni, martiri
04;05;5;beato Ladislao da Gielniów, sacerdote francescano
04;05;6;santi Giovanni Houghton, Roberto Lawrence e Agostino Webster, priori certosini, e Riccardo Reynolds, brigidino, sacerdoti e martiri
04;05;7;beato Giovanni Haile, sacerdote, parroco di Isleworth, martire
04;05;8;beato Giovanni Martino Moyë, sacerdote delle Missioni Estere di Parigi, fondatore delle Suore della Provvidenza di Portieux e Saint-Jean.
05;05;1;san Gioviniano, lettore e martire
05;05;2;sant'Eutimio, diacono e martire
05;05;3;san Massimo, vescovo di Gerusalemme
05;05;4;san Brittone, vescovo di Treviri
05;05;5;sant'Ilario, vescovo di Arles
05;05;6;san Niceto, vescovo di Vienne
05;05;7;san Geronzio, vescovo di Milano
05;05;8;san Mauronto, abate e diacono
05;05;9;san Sacerdote, abate e poi vescovo di Limoges
05;05;10;san Gottardo, vescovo di Hildesheim
05;05;11;sant'Avertino, diacono
05;05;12;sant'Angelo,sacerdote carmelitano e martire
05;05;13;beato Benvenuto Mareni da Recanati, religioso francescano
05;05;14;beato Nunzio Sulprizio, orfano
05;05;15;beata Caterina Cittadini, vergine, fondatrice delle Suore Orsoline di San Girolamo
05;05;16;beato Gregorio Fr?ckowiak, religioso verbita e martire.
06;05;1;san Lucio di Cirene, profeta e dottore della Chiesa di Antiochia
06;05;2;santi Mariano, lettore, e Giacomo, diacono, martiri
06;05;3;san Venerio, vescovo di Milano
06;05;4;santa Benedetta, vergine
06;05;5;sant'Ealberto, vescovo di Lindisfarne
06;05;6;beato Bartolomeo Pucci-Franceschi, sacerdote francescano
06;05;7;beati Edoardo Jones e Antonio Middleton, sacerdoti e martiri
06;05;8;san Francesco de Montmorency-Laval, primo vescovo di Québec
06;05;9;beata Maria Caterina di Santa Rosa Troiani, vergine, fondatrice delle Suore Francescane Missionarie del Cuore Immacolato di Maria
06;05;10;beata Anna Rosa Gattorno, vedova, fondatrice delle Figlie di Sant'Anna
06;05;11;beato Enrico Kaczorowski e Casimiro Gostynski, sacerdoti e martiri.
07;05;1;santa Domitilla, martire
07;05;2;santi Flavio e quattro compagni martiri
07;05;3;san Serenico, diacono e monaco
07;05;4;san Giovanni, vescovo prima di Hexham e poi di York
07;05;5;beata Gisella, vedova
07;05;6;sant'Antonio, eremita
07;05;7;beato Alberto da Bergamo, terziario domenicano
07;05;8;santa Rosa Venerini, vergine, fondatrice delle Maestre Pie
07;05;9;sant'Agostino Roscelli, sacerdote, fondatore delle Suore dell'Immacolata
07;05;10;beato Antonio Bajewski, sacerdote francescano conventuale e martire.
08;05;1;san Vittore, martire
08;05;2;sant'Acacio, soldato e martire
08;05;3;sant'Elladio, vescovo di Auxerre
08;05;4;sant'Arsenio, eremita
08;05;5;san Gibriano, sacerdote pellegrino
08;05;6;san Desiderato, vescovo di Bourges
08;05;7;san Bonifacio IV, papa
08;05;8;san Benedetto II, papa
08;05;9;san Matrone, eremita
08;05;10;san Wirone, missionario
08;05;11;sant'Amato Ronconi, ospedaliere
08;05;12;beato Angelo da Massaccio, sacerdote camaldolese e martire
08;05;13;beato Luigi Rabatà, sacerdote carmelitano
08;05;14;beata Maria Caterina di Sant'Agostino Simon de Longpré, vergine delle Religiose Ospedaliere della Misericordia di Gesù
08;05;15;beata Ulrica Nisch, vergine delle Suore di Carità della Santa Croce.
09;05;1;sant'Isaia, profeta
09;05;2;sant'Erma
09;05;3;san Pacomio, abate
09;05;4;santi trecentodieci martiri persiani
09;05;5;san Dionigi, vescovo di Vienne
09;05;6;san Geronzio, vescovo di Cervia
09;05;7;san Beato, sacerdote ed eremita
09;05;8;beato Forte Gabrielli, eremita
09;05;9;beato Benincasa da Montepulciano, religioso servita
09;05;10;beato Tommaso Pickering, martire benedettino
09;05;11;san Giuseppe Hiên, sacerdote domenicano e martire
09;05;12;beata Maria Teresa di Gesù Gerhardinger, vergine, fondatrice delle Suore Scolastiche di Nostra Signora
09;05;13;beato Stefano Grelewski, sacerdote e martire.
10;05;1;san Giobbe, uomo di grandissima pazienza
10;05;2;san Dioscoride, martire
10;05;3;santi Alfio, Cirino e Filadelfo, martiri
10;05;4;san Gordiano, martire
10;05;5;santi Quarto e Quinto, martiri
10;05;6;san Comgall, abate, fondatore del monastero di Bangor
10;05;7;san Cataldo, vescovo di Taranto
10;05;8;santa Solangia, vergine e martire
10;05;9;san Guglielmo, sacerdote
10;05;10;beata Beatrice d'Este, vergine
10;05;11;beato Niccolò Albergati, certosino vescovo di Bologna
10;05;12;san Giovanni d'Avila, sacerdote
10;05;13;beato Ivan Merz, educatore
10;05;14;beato Enrico Rebuschini, sacerdote camilliano.
11;05;1;san Maiulo di Adrumeto, martire
11;05;2;sant'Antimo, martire
11;05;3;san Mozio, sacerdote e martire
11;05;4;san Mamerto, vescovo di Vienne
11;05;5;san Gengolfo
11;05;6;san Maiolo, abate di Cluny
11;05;7;san Gualterio, sacerdote
11;05;8;beato Gregorio Celli, sacerdote agostiniano
11;05;9;beati Giovanni Rochester e Giacomo Walworth, sacerdoti certosini, martiri
11;05;10;san Francesco De Geronimo, sacerdote gesuita
11;05;11;sant'Ignazio da Laconi, cappuccino
11;05;12;san Matteo Lê V?n G?m, martire.
12;05;1;santi Nereo e Achilleo, martiri
12;05;2;san Pancrazio, ragazzo martire
12;05;3;santi Cirillo e sei compagni, martiri
12;05;4;sant'Epifanio, vescovo di Salamina
12;05;5;san Filippo, sacerdote
12;05;6;san Modoaldo, vescovo di Treviri
12;05;7;santa Rictrude, badessa di Marchiennes
12;05;8;san Germano, vescovo di Costantinopoli
12;05;9;san Domenico della Calzada, eremita
12;05;10;beata Imelda Lambertini, vergine domenicana
12;05;11;beata Giovanna, vergine.
13;05;1;Beata Vergine Maria di Fátima
13;05;2;santi martiri alessandrini
13;05;3;san Servazio, vescovo di Tongres
13;05;4;sant'Agnese, badessa di Santa Croce a Poitiers
13;05;5;beata Gemma, vergine
13;05;6;beata Maddalena Albrici, badessa agostiniana
13;05;7;sant'Andrea Uberto Fournet, sacerdote, fondatore delle Figlie della Croce
13;05;8;San Cristanziano, diacono e martire.
14;05;1;san Mattia, apostolo
14;05;2;san Massimo, martire
14;05;3;san Ponzio, martire
14;05;4;santi Vittore e Corona, martiri
14;05;5;sant'Isidoro, martire
14;05;6;santi Felice e Fortunato, martiri
14;05;7;sante Giusta ed Enedina, martiri
14;05;8;sant'Abruncolo, vescovo di Langres e di Clermont
14;05;9;san Gallo, vescovo di Clermont
14;05;10;san Cartaco, vescovo di Lismore e abate
14;05;11;sant'Eremberto, vescovo di Tolosa
14;05;12;beato Egidio da Vouzela, sacerdote
14;05;13;santa Teodora Guérin, vergine, fondatrice delle Suore della Provvidenza
14;05;14;san Michele Garicoïts, sacerdote, fondatore dei Preti del Sacro Cuore di Gesù di Bétharram
14;05;15;santa Maria Domenica Mazzarello, fondatrice delle Figlie di Maria Ausiliatrice.
15;05;1;santi Pietro, Andrea, Paolo e Dionisia, martiri
15;05;2;santi Cassio e Vittorino, martiri
15;05;3;san Simplicio, sacerdote
15;05;4;sant'Achilleo, vescovo di Larissa
15;05;5;san Reticio, vescovo di Autun
15;05;6;san Caleb, re d'Etiopia
15;05;7;san Severino, vescovo di Settempeda
15;05;8;san Ruperto
15;05;9;san Witesindo, martire
15;05;10;sant'Isidoro, agricoltore
15;05;11;beato Andrea Abellon, sacerdote domenicano.
16;05;1;santi Felice e Gennadio, martiri
16;05;2;santi Fiorenzo e Diocleziano, martiri
16;05;3;santi Abdas, vescovo di Kaskar, Ebedieso e compagni
16;05;4;san Pellegrino, primo vescovo di Auxerre e martire
16;05;5;san Possidio, vescovo di Calama
16;05;6;san Fidolo, sacerdote
16;05;7;san Brandano, vescovo-abate di Clonfert
16;05;8;sant'Onorato, vescovo di Amiens
16;05;9;san Carantoco, vescovo e abate di Cardigan
16;05;10;quarantaquattro santi martiri di Palestina
16;05;11;san Germerio, vescovo di Tolosa
16;05;12;sant'Ubaldo, vescovo di Gubbio
16;05;13;sant'Adamo, abate del monastero di San Sabino
16;05;14;beato Simone Stock, sacerdote, priore generale dei carmelitani
16;05;15;sant'Andrea Bobola, sacerdote gesuita e martire
16;05;16;beato Michele Wozniak, sacerdote e martire
16;05;17;beato Vitale Vladimiro Bajrak, sacerdote basiliano e martire.
17;05;1;sant'Adrione, martire
17;05;2;san Vittore, martire
17;05;3;santi Eradio e Paolo, martiri
17;05;4;santa Restituta, vergine e martire
17;05;5;san Pasquale Baylón, francescano
17;05;6;san Pietro Liu Wenyuan, martire e catechista
17;05;7;beata Antonia Mesina, vergine e martire
17;05;8;beato Ivano Ziatyk, sacerdote redentorista e martire.
18;05;1;san Giovanni I, papa e martire
18;05;2;san Felice, martire
18;05;3;san Dioscuro
18;05;4;santi Potamone, Ortasio e Serapione, sacerdoti e martiri
18;05;5;santi Teodoto e Tecusa, Alessandra, Claudia, Faina, Eufrasia, Matrona e Giulitta, vergini e martiri
18;05;6;beato Burcardo, sacerdote
18;05;7;sant'Erico IX, re e martire
18;05;8;beato Gerardo Mecatti, terziario francescano
18;05;9;beato Guglielmo, sacerdote agostiniano
18;05;10;san Felice da Cantalice, religioso cappuccino
18;05;11;beata Blandina del Sacro Cuore Merten, vergine dell'Ordine di Sant'Orsola
18;05;12;beato Stanislao Kubski, sacerdote e martire
18;05;13;beato Martino Oprzadek, sacerdote francescano e martire.
19;05;1;sant'Urbano I, papa
19;05;2;santi Parteno e Calogero, martiri
19;05;3;sant'Adolfo, vescovo di Cambrai
19;05;4;san Dunstano, abate a Glastonbury e poi vescovo di Worcester, di Londra e infine di Canterbury
19;05;5;santa Umiliana, del Terz'ordine francescano
19;05;6;san Pietro Celestino, papa
19;05;7;sant'Ivo, prete
19;05;8;beato Agostino Novello, sacerdote agostiniano
19;05;9;beato Giovanni da San Domenico Martinez, sacerdote domenicano
19;05;10;beato Pietro Wright, sacerdote e martire
19;05;11;san Teofilo da Corte, sacerdote francescano
19;05;12;san Crispino da Viterbo, religioso cappuccino
19;05;13;beato Giacomo Luigi da Besançon Loir, sacerdote cappuccino e martire
19;05;14;beata Maria Bernarda Bütler, vergine, fondatrice delle Suore Francescane Missionarie di Maria Ausiliatrice
19;05;15;beato Giuseppe Czempiel, sacerdote e martire.
20;05;1;san Bernardino da Siena, sacerdote francescano
20;05;2;santa Lidia
20;05;3;sant'Aura, martire
20;05;4;san Baudelio, martire
20;05;5;san Talaleo, martire
20;05;6;san Lucifero, vescovo di Cagliari
20;05;7;sant'Ilario, vescovo di Tolosa
20;05;8;sant'Austregisilo, vescovo di Bourges
20;05;9;sant'Atanasio, vescovo di Brescia
20;05;10;san Teodoro, vescovo di Pavia
20;05;11;beato Guido della Gherardesca, eremita
20;05;12;beata Colomba, vergine del terz'ordine domenicano
20;05;13;san Protasio Chong Kuk-bo, martire
20;05;14;sant'Arcangelo Tadini, sacerdote, fondatore delle Suore Operaie della Santa Casa di Nazareth
20;05;15;beato Luigi Talamoni, sacerdote, fondatore delle Suore Misericordine di San Gerardo.
21;05;1;san Cristoforo Magallanes e compagni, martiri messicani
21;05;2;san Timoteo, diacono e martire
21;05;3;san Polieuto, martire
21;05;4;santi martiri di Pentecoste ad Alessandria
21;05;5;san Paterno, vescovo di Vannes
21;05;6;sant'Ospizio, recluso
21;05;7;san Mancio, martire
21;05;8;san Teobaldo, vescovo di Vienne
21;05;9;sant'Hemming, vescovo di Åbo
21;05;10;beato Leone Mopinot, dei Fratelli delle Scuole Cristiane, martire
21;05;11;san Carlo Giuseppe Eugenio de Mazenod, vescovo di Marsiglia, fondatore degli Oblati di Maria Immacolata.
22;05;1;santa Rita da Cascia, vedova, monaca agostiniana
22;05;2;santi Casto ed Emilio, martiri
22;05;3;san Basilisco, vescovo di Comana Pontica e martire
22;05;4;santa Giulia, vergine e martire
22;05;5;santa Quiteria, vergine e martire
22;05;6;san Lupicino, vescovo di Verona
22;05;7;sant'Ausonio, primo vescovo di Angoulême
22;05;8;san Lupo, vescovo di Limoges
22;05;9;san Giovanni, abate di Parma
22;05;10;sant'Attone, abate vallombrosano, vescovo di Pistoia
22;05;11;beata Umiltà, badessa vallombrosana
22;05;12;beato Giovanni Forest, sacerdote francescano e martire
22;05;13;beati Pietro da Asuncion, francescano, e Giovanni Battista Machado, sacerdoti e martiri
22;05;14;beata Maria Domenica Brun Barbantini, religiosa, fondatrice delle Suore Ministre degli Infermi di San Camillo
22;05;15;beato Mattia de Arima, catechista e martire
22;05;16;san Michele Hô Ðình Hy, catechista, e san Domenico Ngôn, martire.
23;05;1;santi Lucio, Montano e compagni, martiri
23;05;2;santi martiri di Cappadocia
23;05;3;santi martiri di Mesopotamia
23;05;4;san Desiderio, vescovo di Langres e martire
23;05;5;sant'Eufebio, vescovo di Napoli
23;05;6;sant'Eutichio, abate di Norcia
23;05;7;santo Spes, abate
23;05;8;sant'Onorato, abate di Subiaco
23;05;9;san Siagrio, vescovo di Nizza
23;05;10;san Michele, vescovo di Sinnada di Frigia
23;05;11;san Guiberto, monaco
