giorno;mese;progessivo;santo
09;01;2;sant'Adriano, abate di Sant'Agostino a Canterbury
09;01;3;san Fillano, abate del monastero di Sant'Andrea
09;01;4;sant'Eustrazio, abate
09;01;5;sant'Onorato di Buzancais
09;01;6;beata Giulia Della Rena, terziaria agostiniana
09;01;7;beato Antonio Fatati, vescovo di Teramo e di Ancona
09;01;8;beata Maria Teresa di Gesù le Clerc, vergine, fondatrice delle Canonichesse di Sant'Agostino della Congregazione di Nostra Signora
09;01;9;sante Agata Yi, vergine, Teresa Kim, vedova, e compagni, martiri
09;01;10;beati Giuseppe Pawlowski e Casimiro Grelewski, sacerdoti e martiri.
10;01;1;san Milziade, papa
10;01;2;san Paolo, primo eremita
10;01;3;san Gregorio, vescovo di Nissa
10;01;4;san Giovanni, vescovo di Gerusalemme
10;01;5;san Petronio, vescovo di Die
10;01;6;san Marciano, sacerdote
10;01;7;san Valerio, eremita
10;01;8;san Domiziano, metropolita di Melitene
10;01;9;sant'Agatone, papa
10;01;10;sant'Arconzio, vescovo di Viviers
10;01;11;san Pietro Orseolo, eremita
10;01;12;beato Benincasa, abate di Cava
10;01;13;san Guglielmo, cistercense, vescovo di Bourges
10;01;14;beato Gonslavo, domenicano ed eremita
10;01;15;beato Gregorio X, papa
10;01;16;beato Egidio, francescano ed eremita
10;01;17;beata Anna degli Angeli Monteagudo, vergine domenicana
10;01;18;santa Francesca Sales Aviat, vergine, fondatrice delle Suore Oblate di San Francesco di Sales
10;01;19;beata Maria Addolorata Rodríguez Sopeña, vergine, fondatrice dell'Istituto delle Dame Catechiste.
11;01;1;sant'Igino, papa
11;01;2;san Salvio, martire
11;01;3;san Tipasio il Vecchio, martire
11;01;4;san Pietro, detto Balsamo, martire
11;01;5;san Leucio, primo vescovo di Brindisi
11;01;6;santa Onorata, vergine
11;01;7;santa Liberata, vergine e martire san Teodosio, cenobiarca
11;01;8;san Paolino, vescovo di Aquileia
11;01;9;beato Bernardino Scammacca, sacerdote domenicano
11;01;10;beato Guglielmo Carter, martire
11;01;11;san Tommaso da Cori, francescano
11;01;12;beato Francesco Rogaczewski, sacerdote e martire.
12;01;1;sant'Arcadio, martire
12;01;2;santi Tigrio, sacerdote, ed Eutropio, lettore, martiri
12;01;3;santa Cesaria, badessa
12;01;4;san Ferreolo, vescovo di Grenoble e martire
12;01;5;san Benedetto Biscop, abate
12;01;6;sant'Alredo, abate cistercense
12;01;7;san Martino della Santa Croce, sacerdote e canonico regolare
12;01;8;san Bernardo da Corleone, frate cappuccino
12;01;9;santa Margherita Bourgeoys, vergine, fondatrice della Suore della Congregazione di Nostra Signora
12;01;10;beato Antonio Fournier, martire
12;01;11;beato Pietro Francesco Jamet, sacerdote, fondatore delle Figlie del Buon Salvatore
12;01;12;sant'Antonio Maria Pucci, sacerdote servita
12;01;13;beato Nicola Bunkerd Kitbamrung, sacerdote e martire in Thailandia.
13;01;1;sant'Ilario, vescovo di Poitiers e dottore della Chiesa
13;01;2;santi Ermilio e Stratonico, martiri
13;01;3;sant'Agrizio, vescovo di Treviri
13;01;4;deposizione di san Remigio, vescovo di Reims
13;01;5;san Chentigerno, vescovo di Glasgow e abate
13;01;6;san Pietro, sacerdote e martire
13;01;7;santi Gumesindo, sacerdote, e Servidio, monaco, martiri a Cordova
13;01;8;san Goffredo, canonico regolare
13;01;9;santa Iutta, vedova
13;01;10;beata Veronica Negroni da Binasco, vergine, religiosa nel monastero di Santa Marta
13;01;11;santi Domenico Ph?m Tr?ng Kh?m, Luca Ph?m Tr?ng Thìn e Giuseppe Ph?m Tr?ng T?, martiri
13;01;12;beato Emilio Szramek, sacerdote e martire a Dachau.
14;01;1;san Potito, martire nella Dacia
14;01;2;san Glicerio, diacono e martire
14;01;3;san Felice, sacerdote di Nola
14;01;4;santa Macrina, matrona
14;01;5;santi monaci di Raithu e del Monte Sinai, martiri
14;01;6;santa Nina
14;01;7;san Firmino, vescovo di Amiens
14;01;8;sant'Eufrasio, vescovo di Clermont
14;01;9;san Dazio, vescovo di Milano
14;01;10;san Fulgenzio, vescovo di Astigi
14;01;11;beato Oddone, sacerdote domenicano
14;01;12;beato Odorico da Pordenone, missionario
14;01;13;beato Pietro Donders, sacerdote redentorista.
15;01;1;santa Secondina, vergine e martire
15;01;2;san Giovanni Calibita
15;01;3;santa Ita, vergine
15;01;4;san Probo, vescovo di Rieti
15;01;5;san Mauro, abate
15;01;6;santa Tarsicia, vergine e martire
15;01;7;sant'Ableberto (o Emeberto), vescovo di Cambrai
15;01;8;san Malardo, vescovo di Chartres
